datasetid,title,citation,DOI,licence,accessconstraint,abstract,description,contact,include,complete,theme,keyword
209,TROPHOS/PODO-I work-database I (23/01/2004): Meiobenthos from station 330 - structural and funtional biodiversity on the Belgian Continental Shelf,"Vanaverbeke, J. (1999). Nematodes from station 330: structural and functional biodiversity on the Belgian Continental Shelf. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium. https://doi.org/10.14284/565", https://doi.org/10.14284/565,Attribution (CC BY),,The principle aim of this research was to investigate the morphometry of nematode communities as triggered by a phytoplankton spring bloom deposition in a well oxygenated North Sea sampling station. Length and width measurements are available together with densities.,"The response of nematode communities to the sedimentation of a spring phytoplankton bloom in a sandy, well-oxygenated sediment in the Southern North Sea is investigated from early March to July 1999) with monthly intervals. Both structural (nematode density, diversity, vertical distribution and community composition) and functional (feeding type distributions, number of species within feeding groups) characteristics were investigated. Vertical profiles of pigment concentrations in the water column were determined.",Jan Vanaverbeke,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Continental shelf , Meiobenthic organisms , Meiobenthos , Nematoda , Phytoplankton"
216,The CPR Survey,"Johns D, Broughton D (2019): The CPR Survey. v1.0. Marine Biological Association. Dataset/Samplingevent http://doi.dassh.ac.uk/data/1629",http://doi.dassh.ac.uk/data/1629,Attribution (CC BY),NA,The SAHFOS CPR survey is the longest and most geographically extensive marine biological survey in the world. The CPR survey has been in operation in the North Sea and North Atlantic since 1946 and has systematically sampled up to 500 planktonic taxa from the major regions of the North Atlantic at a monthly resolution. This dataset contains also CPR surveys in the Pacific and the South Atlantic.,"The Continuous Plankton Recorder (CPR) survey has been operating in the North Atlantic and North Sea since 1946 and measures the abundance of approximately 450 phytoplankton and zooplankton taxa (Warner and Hays, 1994). The CPR is a high-speed plankton recorder that is towed behind ‘ships of opportunity’ through the surface layer of the ocean (~10 m depth). Water passes through the recorder, and plankton are filtered by a slow moving silk (mesh size 270 µm). A second layer of silk covers the first and both are reeled into a tank containing 4% formaldehyde. Upon returning to the laboratory, the silk on is unwound and cut into sections corresponding to 10 nautical miles and approximately 3 m3 of filtered sea water. The colour of each section of CPR silk is then evaluated and categorized according to four levels of ‘greenness’ (green, pale green, very pale green and no colour) using a standard colour chart; these numbers are given a numerical value as a measure of the ‘Phytoplankton Colour Index’. This is a semiquantitative measure of phytoplankton biomass; the silk gets its green colour from the chloroplasts of the filtered phytoplankton. Phytoplankton cells are then identified and recorded as either present or absent across 20 microscopic fields spanning each section of silk; CPR phytoplankton abundance is therefore a semiquantitative estimate (i.e. the species is recorded once per field independent of the number of cells in a field). However, the proportion of cells captured by the silk reflects the major changes in abundance, distribution, and community composition of the phytoplankton (Robinson, 1970), and is consistent and comparable over time. Zooplankton analysis then carried out in two stages with small (<2 mm) zooplankton identified and counted on-silk and larger (>2 mm) zooplankton enumerated off-silk. The collection and analysis of CPR samples have been carried out using a consistent methodological approach since 1958, making the CPR survey the longest continuous dataset of its kind in the world (Edwards and Richardson, 2004).",,FALSE,FALSE,"Ecology - biodiversity , Phytoplankton , Zooplankton","Phytoplankton , Plankton , Zooplankton"
291,SNU-FF Phytoplankton and zooplankton (1999-2010),"Bat, L., Sahin, F., Ustun, F. 1999. Phytoplankton and zooplankton data from 1999-2010. Sinop University Fisheries Faculty (SNU-FF).",NA,Attribution (CC BY),,"This dataset contains phytoplankton and zooplankton data from 1999 to 2010, collected at three stations offshore the Sinop Peninsula, Turkey, located in the Black Sea.","This dataset contains phytoplankton data from 1999 (collected at stations B and D), phytoplankton data from 2002-2004 (collected at station A), <i>Emiliania huxleyi</i> data from 2002-2010 (collected at station A) and zooplankton data from 2002-2004 (collected at station A).

The changes in the quality and quantity of phytoplankton and zooplankton are being monitored at (roughly) one month intervals. Phytoplankton is being sampled at the sea surface, zooplankton samples are being obtained by one vertical tow from 50m water depth to the sea surface.

Phytoplankton total abundance is given in individuals/liter (1999 data) and µg/l (2002-2004 data). No taxa data is available for the phytoplankton. 

The <i>Emiliania huxleyi</i> data is restricted: this data should be considered as presence data. 

Zooplankton total abundance is given in ind/m², which is calculated as follows:<ul><li>B = Abundance (ind/m²) = C / A	 <li>C = Total individual numbers in sampling <li>A = Area of the net mouth (m²) = 3.14 x r² with 		r = Diameter of the net mouth (m)</ul>",Levent Bat,FALSE,FALSE,"Phytoplankton , Zooplankton","Chemistry , Nutrients , Physics , Plankton"
466,Ecological hyperbenthic data of the Scheldt estuary: historical data (1988-2001),"Beyst, B.; Fockedey, N.; Hostens, K.; Mees, J.; Marine Biology Research Group - Ugent: Belgium; (2004): Ecological hyperbenthic data of the Scheldt estuary: historical data (1988-2001). Marine Data Archive.",NA,Attribution (CC BY),NA,Data on the ecology of the hyperbenthos community of the Scheldt estuary were derived from research projects on this matter (1988-2001).,NA,Nancy Fockedey,FALSE,FALSE,"Biology , Ecology - biodiversity , Invertebrates","Benthic boundary layer , Biological data , Ecology , Estuaries , Hyperbenthos , Salinity gradients"
467,Ecological hyperbenthic data of the Scheldt estuary: ENDIS-RISKS data (2002-2005),,NA,Attribution (CC BY),,"Density, biomass, population structure and brood size were determined for Mysid shrimp populations in the Scheldt-estuary.",NA,Nancy Fockedey,FALSE,FALSE,"Biology , Ecology - biodiversity , Invertebrates","Benthic boundary layer , Biological data , Ecology , Estuaries , Hyperbenthos , Salinity gradients"
472,TROPHOS/PODO-I integrated database,"Soetaert K. 2004: TROPHOS/PODO-I work-database II. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=472",NA,Attribution (CC BY),,"This dataset is the updated version of the ""TROPHOS/PODO-I work-database Soetaert"" dataset. Additional tables with TROPHOS data are added (from Ugent and NIOO).",The parameters that are measured are listed in the child datasets.,,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity , Invertebrates",Phytoplankton
496,Biogeography Scheldt Estuary,"Sistermans W., Hummel H. 2003: Biogeography Scheldt Estuary. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=496",NA,Attribution (CC BY),,Taxonomy database of the Western and Sea Scheldt from the of the Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology; Department of Ecosystem Studies,NA,,FALSE,FALSE,"Biology , Benthos , Geography","Biogeography , Estuaries"
641,Marine Life Survey Data (collected by volunteers) collated by MarLIN,"Parr, J. Marine Life Survey Data (collected by volunteers) collated by MarLIN. MarLIN, collated Marine Life Survey Datasets, Marine Biological Association of the UK, Plymouth, UK.",NA,Attribution (CC BY),,Collection of marine life surveys collated by the Marine Life Information Network (MarLIN) as part of their data access program.,"Surveys are either flagged as professional surveys or data collected by volunteer recorders as part for the Sealife Survey. Information about survey methodology can be found on the MarLIN Web site (www.marlin.ac.uk). There are currently 368 surveys collated by MarLIN containing 250,000 species records. Data ownership remains with the data provider and permission must be sought for commercial use of the data.",Jon Parr,FALSE,FALSE,"Biology , Benthos , Birds , Fish , Macroalgae , Mammals , Plants","Data , Marine Genomics"
658,Cefas01 - Structure of sublittoral nematode assemblages around the UK coast,"Schratzberger, M. (1998). Structure of sublittoral meiofauna assemblages around the UK coast. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.",NA,Attribution (CC BY),NA,"Nematode and harpacticoid copepod species abundance data are listed as counts per sample. Other available data include sediment granulometry and trace metal concentrations. For a detailed description, see listed publications",Meiobenthos was sampled and environmental variables were measured at a number of stations around the UK coast to improve the understanding of how species assemblages respond to both anthropogenic impacts and natural environmental factors.,Michaela Schratzberger,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Meiobenthos , Sublittoral zone"
659,Cefas02 - Structure of sublittoral nematode assemblages at four offshore stations around the UK,"Schratzberger, M. (1999). Structure of sublittoral nematode assemblages at four offshore stations around the UK. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.",NA,Attribution (CC BY),NA,This dataset represents a subset of data collected from offshore locations around England and Wales under the auspices of the National Marine Monitoring Programme (NMMP).,This subset comprises nematode data and a number of environmental variables for four stations.,Michaela Schratzberger,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Meiobenthos , Monitoring , Offshore , Sublittoral zone"
660,Cefas03 - Impacts of experimental trawling disturbance on nematode communities,"Schratzberger, M. (2000). Impacts of experimental trawling disturbance on nematode communities. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.",NA,Attribution (CC BY),NA,Experiment on the short-term effects of beam trawling in the Southern North Sea.,"A BACI experimental approach was used to investigate the short-term effects of beam trawling on the diversity, biomass and community structure of meiofauna on real fishing grounds in the Southern North Sea. The dataset includes meiofauna species counts from two locations sampled once before and twice post-trawling.",Michaela Schratzberger,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Disturbance (ecosystem) , Experimental research , Meiobenthos , Trawling"
661,Cefas04 - Impacts of chronic trawling disturbance on nematode communities,"Schratzberger, M. (2000). Impacts of chronic trawling disturbance on nematode communities. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.",NA,Attribution (CC BY),NA,An impact study was conducted on fishing grounds in the Silver Pit (central North Sea).,The aim of the data collection was to assess the response of meiofaunal nematode communities to chronic trawling disturbance.,Michaela Schratzberger,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Disturbance (ecosystem) , Impacts , Meiobenthos"
662,Cefas05 - Structure of nematode communities in the southwestern North Sea,"Schratzberger, M. (2000). Structure of nematode communities in the south western North Sea. Centre for Environment, Fisheries and Aquaculture Science (CEFAS), UK.",NA,Attribution (CC BY),NA,This dataset provides information on the species composition and abundance of North Sea meiobenthic nematode assemblages,"The meiobenthic nematode assemblages are studied in relation to a suite of environmental variables, biogeographical factors and potential anthropogenic impacts that determine the distribution of community types. Since nematodes had not yet been studied in detail in this region, the data provided novel insights into the relationship between nematode patterns and those of other faunal group in the study area.",Michaela Schratzberger,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Meiobenthos , Population structure"
663,Free-living marine nematodes from the Southern Bight of the North Sea,"Vincx, M. (1984). Free-living marine nematodes from the Southern Bight of the North Sea. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.",NA,Attribution (CC BY),,"The nematode communities from 102 stations in the Southern Bight of the North Sea, sampled between 1972 and 1984, are examined. On the whole, 456 species, belonging to 159 genera and 37 families were found.","In the framework of a PhD thesis, data were collected on the nematode community of the Southern Bight of the North Sea, with the focus on both ecological and taxonomical matters.",Magda Vincx,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Ecology , Free-living marine nematodes , Meiobenthos , Nematoda , Taxonomy"
664,Free-living nematodes of the Voordelta,"Vanreusel, A. (1985). Free-living nematodes of the Voordelta. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.",NA,Attribution (CC BY),,"Data collected from this PhD study form part of a global research project, aiming to evaluate the effect of the Delta works on the Dutch Delta ecosystem.",This dataset focuses on inventorying the nematode communities found in the Voordelta and to evaluate their stability over time,Ann Vanreusel,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Inventories , Meiobenthos , Nematoda"
665,Deep-sea Meiobenthos,"Soetaert K. 1993: Deep-sea Meiobenthos. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=665",NA,Attribution (CC BY),,This dataset is a collection of several sampling campaigns dealing with meiobenthos on different locations and times.,"All data were gathered between 1966 and 1993, on depths ranging between 30 and 8 380 meters. Meiobenthic information is available for the Arctic, the Atlantic, the Pacific, the Mediterranean and the Red Sea.",,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Deep sea , Meiobenthos"
668,Size of Atlantic nematodes,"Soetaert K. 1999: Size of Atlantic nematodes. Netherlands Institute of Ecology; Centre for Estuarine and Marine Ecology, Netherlands. Metadata available at http://mda.nioo.knaw.nl/imis.php?module=dataset&dasid=668",NA,Attribution (CC BY),,"In the framework of the OMEX-programme (Ocean Margin Exchange, CEC-MAST II), data were collected on the metazoan meiobenthos along the continental slope of the Goban Spur.",These data fill the gap in knowledge about the meiobenthic communities along the continental slope systems in the Northeast Atlantic.,,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Deep sea , Meiobenthos"
671,Free-living nematodes in a brackish tidal flat of the Westerschelde,"Jian, L. (1992). Free-living nematodes in a brackish tidal flat of the Westerschelde. Ghent University, Department of Biology, Marine Biology Section (MARBIOL), Belgium.",NA,Attribution (CC BY),,"Data were collected in the framework of a Msc. Thesis. The objective was to compare the horizontal distribution of meiofaunal parameters among several scales,by using statistical methods.",NA,Li Jian,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Free-living nematodes , Meiobenthos , Meiofauna , Modelling , Nematoda , Temporal variations"
672,Heraklion Harbour Meiobenthos,"Lampadariou, N. (1993). Heraklion harbour meiobenthos. Hellenic Centre for Marine Research (HCMR), Greece.",NA,Attribution (CC BY),,"Meiofaunal community responses to anthropogenic disturbance in Heraklion harbour (Crete, Greece, Eastern Med.). The dataset contains data on the community structure of nematodes and copepods at seventeen stations in relation with environmental variables",Samples were collected in Iraklion Harbour to investigate the relationship between the meiofaunal community structure and the anthropogenic disturbance. The data also contributed to the knowledge of nematode and copepod components of the meiobenthic communities in the Eastern Mediterranean Sea.,Nikolaos Lampadariou,FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Data , Disturbances , Harbour areas , Harpacticoid copepods , Heavy metals , Marine Genomics , Marine pollution , Meiobenthos"
675,Meiofauna of the Ligurian Sea,"Gambi, C. & Danovaro, R. (1992). Meiofauna of the Ligurian Sea. Polytechnic University of Marche; Faculty of Sciences, Department of Marine Sciences, Italy.",NA,Attribution (CC BY),,"The hypothesis that, temporal variation in nematode abundance, community composition and trophic structure is coupled with changes in the quantity and quality of their potential food sources was tested.",Different variables were investigated over an annual cycle in a <i>Posidonia oceanica</i> seagrass bed (NW Mediterranean Sea).,"Roberto Danovaro , Maria Cristina Gambi",FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Meiobenthos , Meiofauna , Seagrass"
676,Meiofauna of the North Adriatic Sea,"Gambi, C. & Danovaro, R. (1997). Meiofauna of the North Adriatic Sea. Polytechnic University of Marche, Faculty of Sciences, Department of Marine Sciences, Italy.",NA,Attribution (CC BY),,The direct or indirect influence of a river plume on meiofaunal abundance and community composition was investigated in the North Adriatic Sea (NW Mediterranean Sea).,"The meiofaunal response to the river plume was investigated in the coastal zone, beneath the river front and in open-sea sediments in summer and winter.","Roberto Danovaro , Maria Cristina Gambi",FALSE,FALSE,"Biology , Benthos , Ecology - biodiversity","Coastal zone , Mediterranean Sea , Mediterranean sea , Meiobenthos , Meiofauna , River plumes"
